image,missing_fraction,NRMSE,PSNR
0000.png,0.2,0.0054173859815355,45.3242044081408
0000.png,0.4,0.0087552785338833,41.15460066081829
0000.png,0.6,0.0157941365486424,36.03008223203643
0001.png,0.2,0.0156997724218085,36.08213285840017
0001.png,0.4,0.0261355463350742,31.65536834038292
0001.png,0.6,0.0404996979248884,27.8509643209132
0010.png,0.2,0.0310611992534829,30.15563560890678
0010.png,0.4,0.0504418007447742,25.94418835492156
0010.png,0.6,0.0760995232399379,22.372361281122764
0011.png,0.2,0.0176803611301886,35.05017737102178
0011.png,0.4,0.029252984146324,30.67659648416526
0011.png,0.6,0.0444260099428114,27.047253810642523
0012.png,0.2,0.0247431040259923,32.13091637966796
0012.png,0.4,0.0411347509900727,27.71582254717988
0012.png,0.6,0.0603810867544259,24.381981493961963
0013.png,0.2,0.0083622822113738,41.55350359824679
0013.png,0.4,0.0141622510140187,36.97735424751461
0013.png,0.6,0.0221944004262448,33.075131655791466
0014.png,0.2,0.0245922068612812,32.18404993382941
0014.png,0.4,0.0407173343255126,27.80441324093834
0014.png,0.6,0.0620466216577847,24.14563720363528
0015.png,0.2,0.0299571061109708,30.470002845311747
0015.png,0.4,0.0483993385821017,26.30321146632918
0015.png,0.6,0.0719510742580315,22.85925434980745
0016.png,0.2,0.0174099750271427,35.18403703667908
0016.png,0.4,0.0296275445599131,30.56608680048232
0016.png,0.6,0.0461613628668143,26.714427551292804
0017.png,0.2,0.0089807050688182,40.933791316817015
0017.png,0.4,0.01546319219198,36.21401692471298
0017.png,0.6,0.0243329739803222,32.2760961655585
0018.png,0.2,0.0227341861643461,32.86641176004164
0018.png,0.4,0.0395480552651686,28.05749735248995
0018.png,0.6,0.0610457992431335,24.286884317689324
0019.png,0.2,0.0156753869664296,36.09563458530603
0019.png,0.4,0.0257345247612222,31.78967694888588
0019.png,0.6,0.0390920534975711,28.15823031136544
0002.png,0.2,0.0118985936765214,38.49008731772682
0002.png,0.4,0.0196807448127314,34.119169396611355
0002.png,0.6,0.0302646847826634,30.38127690115301
0020.png,0.2,0.0136225082094959,37.31485843399338
0020.png,0.4,0.0231079199520994,32.72478291125861
0020.png,0.6,0.0344579206066454,29.254218679551617
0021.png,0.2,0.0293946818902402,30.63462470783842
0021.png,0.4,0.0468032730127128,26.59447550191185
0021.png,0.6,0.0684100683274874,23.297599516100163
0022.png,0.2,0.033403950547781,29.524043358593048
0022.png,0.4,0.0545090874531442,25.270621770336284
0022.png,0.6,0.0856429175570467,21.34617092438914
0023.png,0.2,0.0106823920009263,39.4266297841893
0023.png,0.4,0.0180471714227999,34.87181712916364
0023.png,0.6,0.0283296134137935,30.95518703652508
0024.png,0.2,0.0274573245214355,31.22683566550014
0024.png,0.4,0.0440948824132835,27.112236223631424
0024.png,0.6,0.0649786978603862,23.74457991882816
0025.png,0.2,0.0259800246797811,31.70720881407609
0025.png,0.4,0.0414950807178758,27.640067725379154
0025.png,0.6,0.0607608961237339,24.32751659258961
0026.png,0.2,0.0429755709511458,27.33556689582696
