image,sparsity,MSE,NMSE,PSNR
0000.png,0.2,10.871804465212671,0.0001671942247629784,37.76778728074562
0000.png,0.4,275.2301400219649,0.004232681891917954,23.733843697910487
0000.png,0.6,2113.121911568714,0.03249706899759652,14.881558075002824
0001.png,0.2,49.69436799334565,0.0007642348018968958,31.167731891971545
0001.png,0.4,259.75485126519084,0.003994692060979482,23.98516693539453
0001.png,0.6,908.8233930441493,0.013976522768845048,18.54600863650575
0002.png,0.2,36.36240022121634,0.0005592064624562298,32.52427818319487
0002.png,0.4,283.0762455068342,0.004353344798259657,23.611769340253975
0002.png,0.6,1231.6883588184683,0.018941766379368986,17.225795241161034
0003.png,0.2,245.5343383525454,0.003775999051942259,24.229681234143015
0003.png,0.4,1610.4595226577658,0.02476677466601716,16.06130547146717
0003.png,0.6,4845.597548346459,0.07451899343862298,11.277330199460053
0004.png,0.2,77.1846052894974,0.0011869989279430589,29.25549673285193
0004.png,0.4,318.2060386475336,0.004893595365590675,23.103719438024214
0004.png,0.6,976.1498436520885,0.015011916088459646,18.235638718116327
0005.png,0.2,194.05115213008966,0.002984254550251283,25.25164135269563
0005.png,0.4,1590.8927040978836,0.02446586242365065,16.114394707182235
0005.png,0.6,5010.114875372737,0.07704905613798903,11.132326770827948
0006.png,0.2,493.84717837568826,0.007594727848914852,21.19487784122747
0006.png,0.4,2915.472498708242,0.04483617837306023,13.483714117376993
0006.png,0.6,7665.990920157466,0.11789297839534742,9.28512060341417
0007.png,0.2,475.7070626699739,0.007315756442444811,21.357407615694555
0007.png,0.4,1717.5931380885465,0.02641435045118872,15.781600644747858
0007.png,0.6,4006.378364544707,0.061612892957242704,12.103283989671782
0008.png,0.2,230.78157077241656,0.0035491206577841837,24.498792358963822
0008.png,0.4,1021.595352783792,0.015710808962457395,18.038014522047067
0008.png,0.6,2790.080607402089,0.04290781403155846,13.674636103383166
0009.png,0.2,586.100847848485,0.009013469401745253,20.451080112391455
0009.png,0.4,4491.250232966837,0.06906959220248884,11.607131081277991
0009.png,0.6,11690.930096763284,0.17979131252231118,7.452312971120997
0010.png,0.2,346.0489881893692,0.005321783747625824,22.739427771203978
0010.png,0.4,2083.830863381299,0.03204661074019683,14.94217894839821
0010.png,0.6,6064.550906033217,0.09326491204972268,10.302817149815587
0011.png,0.2,75.85863744243687,0.00116660726555074,29.33075323141072
0011.png,0.4,469.2157745872213,0.007215928867162188,21.417077566123464
0011.png,0.6,1852.915048215452,0.028495425578092305,15.452248524702203
0012.png,0.2,394.9826313160748,0.006074319589635906,22.16502362176721
0012.png,0.4,2624.5769693443217,0.040362583150239474,13.940210472915247
0012.png,0.6,7504.9272841761895,0.1154160289761813,9.377338721812285
0013.png,0.2,235.5099992317294,0.0036218377428947237,24.410710098319836
0013.png,0.4,3358.9477735727014,0.051656251804270685,12.868771095792429
0013.png,0.6,9970.011610861784,0.15332582254304936,8.143846967859169
0014.png,0.2,111.34046172183359,0.0017122716143303897,27.66427342901583
0014.png,0.4,500.8982790891445,0.007703164614981077,21.133308212593946
0014.png,0.6,1380.5390444895033,0.021230896493494862,16.730316669758945
0015.png,0.2,139.92883319549307,0.0021519236170010466,26.671731481095918
0015.png,0.4,475.2408108353487,0.007308586095122626,21.36166632683578
0015.png,0.6,1173.9898625116778,0.018054438485377588,17.434160141047364
0016.png,0.2,59.463969538270696,0.0009144785780587574,30.388264635498828
0016.png,0.4,293.44858928754905,0.004512857966744314,23.455483348223925
0016.png,0.6,900.7160879522332,0.013851842951975906,18.58492440994718
0017.png,0.2,31.357349115638378,0.00048223528051731453,33.16741019646064
0017.png,0.4,316.6665232573032,0.0048699196194894765,23.124782069784388
0017.png,0.6,1527.1520798644033,0.023485614453893168,16.291980728899592
0018.png,0.2,151.44078297900904,0.0023289624448905658,26.328375145173997
0018.png,0.4,1294.6358991871714,0.01990981774989883,17.009327153907485
0018.png,0.6,4325.5002462484645,0.06652057279889988,11.770440197903051
0019.png,0.2,75.60843678625585,0.0011627595045944769,29.34510101804781
0019.png,0.4,501.75056637243244,0.007716271685850556,21.12592489479621
0019.png,0.6,1910.7175810259623,0.029384353418315454,15.318838611839588
0020.png,0.2,38.37339235014214,0.0005901329081144504,32.29050166730219
0020.png,0.4,219.96512320365338,0.003382777750152301,24.707265345954525
0020.png,0.6,1144.6492877057653,0.017603218572945258,17.544079185111755
0021.png,0.2,206.58023638949228,0.0031769355846134914,24.979915908167058
0021.png,0.4,871.3059651190496,0.013399553481261817,18.729096735646753
0021.png,0.6,2444.595681222638,0.03759470482464649,14.248733206941978
0022.png,0.2,398.68948696143235,0.006131326212401882,22.124455769608073
0022.png,0.4,1848.7657699023534,0.028431615069624813,15.461984693315959
0022.png,0.6,4759.398019523327,0.07319335670162748,11.355283353180312
0023.png,0.2,20.948168622333114,0.0003221556112623316,34.919342997699275
0023.png,0.4,362.21354379514685,0.005570373606999567,22.54115675559319
0023.png,0.6,2060.704042350092,0.031690950286045245,14.990647378435291
0024.png,0.2,156.1936727293447,0.0024020557128695843,26.19416923864323
0024.png,0.4,818.7306227913408,0.012591013037929116,18.999393263589166
0024.png,0.6,2801.3618620320653,0.04308130506777494,13.657111490335673
0025.png,0.2,225.46297973094067,0.0034673276390763657,24.60005118505155
0025.png,0.4,1621.9688542424258,0.024943773229410625,16.030378504258916
0025.png,0.6,5249.558925523026,0.08073139447171128,10.929575458921683
0026.png,0.2,400.93909211619905,0.006165922216319862,22.10001958240088
0026.png,0.4,1427.0085805707722,0.021945537571253705,16.586537763423774
0026.png,0.6,3408.4401590532993,0.052417380377597834,12.805246872425682
0027.png,0.2,179.23003173838876,0.002756324978675721,25.59669579171858
0027.png,0.4,909.0770542200162,0.013980423748097135,18.544796648799462
