image,sigma,MSE,NMSE,PSNR
0051.png,0.2,0.030378567361341438,0.030378567361341438,15.174327111096632
0052.png,0.05,0.0026422832064321384,0.0026422832064321384,25.780206354728055
0052.png,0.1,0.007596266309031303,0.007596266309031303,21.193998182220902
0052.png,0.2,0.03371591782382729,0.03371591782382729,14.721650133446591
0053.png,0.05,0.001139297746284509,0.001139297746284509,29.43362761724332
0053.png,0.1,0.004572168609271151,0.004572168609271151,23.39877762369964
0053.png,0.2,0.026467279130589615,0.026467279130589615,15.772907024201032
0054.png,0.05,0.0012026684229645718,0.0012026684229645718,29.198540916341827
0054.png,0.1,0.006529155485948172,0.006529155485948172,21.851429889410635
0054.png,0.2,0.03468421975496464,0.03468421975496464,14.59868070803335
0055.png,0.05,0.0021580347520888717,0.0021580347520888717,26.659415659001382
0055.png,0.1,0.007049107124569928,0.007049107124569928,21.518658894525412
0055.png,0.2,0.03313940258212291,0.03313940258212291,14.796553250544626
0056.png,0.05,0.002672344691407258,0.002672344691407258,25.731075252678345
0056.png,0.1,0.007506075485965837,0.007506075485965837,21.245870723538477
0056.png,0.2,0.0315915200158322,0.0315915200158322,15.004294776527177
0057.png,0.05,0.003813621698283422,0.003813621698283422,24.18662390077776
0057.png,0.1,0.008809698890081985,0.008809698890081985,20.550389352440973
0057.png,0.2,0.033092240184016596,0.033092240184016596,14.80273832216822
0058.png,0.05,0.0021056571527375786,0.0021056571527375786,26.766123400809086
0058.png,0.1,0.006915291625870635,0.006915291625870635,21.601895004663355
0058.png,0.2,0.03046328413523456,0.03046328413523456,15.162232787765252
0059.png,0.05,0.0008836566969477685,0.0008836566969477685,30.537164268187023
0059.png,0.1,0.006386983920017127,0.006386983920017127,21.947041772280524
0059.png,0.2,0.03597140432928768,0.03597140432928768,14.44042606925578
0060.png,0.05,0.0013920692028701347,0.0013920692028701347,28.56339174439837
0060.png,0.1,0.006595557251431914,0.006595557251431914,21.80748505500786
0060.png,0.2,0.03202760354069648,0.03202760354069648,14.944755561219518
0061.png,0.05,0.0009053682141725327,0.0009053682141725327,30.43174756860639
0061.png,0.1,0.006368081913743542,0.006368081913743542,21.95991358829117
0061.png,0.2,0.03548844003726927,0.03548844003726927,14.499130904832258
0062.png,0.05,0.0015841370978659484,0.0015841370978659484,28.002072354547764
0062.png,0.1,0.006823500469351582,0.006823500469351582,21.659927742416013
0062.png,0.2,0.031898906215775194,0.031898906215775194,14.962242082468066
0063.png,0.05,0.0011166983508944701,0.0011166983508944701,29.52064125214084
0063.png,0.1,0.004105564179521756,0.004105564179521756,23.866271544477765
0063.png,0.2,0.025070685068537834,0.025070685068537834,16.008337985738653
0064.png,0.05,0.0021808740494229997,0.0021808740494229997,26.613694152191307
0064.png,0.1,0.006862036314321163,0.006862036314321163,21.63546987960469
0064.png,0.2,0.03227140890253059,0.03227140890253059,14.911820737892246
0065.png,0.05,0.002743932073630534,0.002743932073630534,25.616266438445024
0065.png,0.1,0.0076296236536822605,0.0076296236536822605,21.17496883953395
0065.png,0.2,0.0325992922443282,0.0325992922443282,14.86791828696461
0066.png,0.05,0.0021951998075464543,0.0021951998075464543,26.585259440480126
0066.png,0.1,0.006624262325801978,0.006624262325801978,21.788624774924337
0066.png,0.2,0.031018818744834167,0.031018818744834167,15.083747449611103
0067.png,0.05,0.0031749381753869692,0.0031749381753869692,24.982647271750622
0067.png,0.1,0.0070596242954747,0.0070596242954747,21.512184109515736
0067.png,0.2,0.02701412858552068,0.02701412858552068,15.684090372531855
