image,sigma,sparsity,NRMSE,PSNR
0026.png,25.5,3,0.0705448724300062,23.03069095110049
0026.png,51.0,2,0.0959879689121291,20.35566395639856
0027.png,12.75,4,0.0410335390892794,27.73722048168992
0027.png,25.5,3,0.0528149956583574,25.544855031503893
0027.png,51.0,2,0.0738381602259478,22.63438265721408
0028.png,12.75,4,0.0458383044655973,26.775429101290456
0028.png,25.5,3,0.0558664218658788,25.056982869080024
0028.png,51.0,2,0.076029763715418,22.380327184148804
0029.png,12.75,4,0.0308226337767516,30.22260507624661
0029.png,25.5,3,0.0434221130838056,27.24578091919492
0029.png,51.0,2,0.0710869363683376,22.964204042906285
0003.png,12.75,4,0.0342719069403852,29.30123460200914
0003.png,25.5,3,0.0467508351994883,26.604212521801863
0003.png,51.0,2,0.0691742921453124,23.20110552526032
0030.png,12.75,4,0.040231301913248,27.908718262524133
0030.png,25.5,3,0.0523930884639404,25.61452000076331
0030.png,51.0,2,0.0726298625726903,22.777695551848154
0031.png,12.75,4,0.026235860713397,31.62209366880425
0031.png,25.5,3,0.0396565902188217,28.033692606856437
0031.png,51.0,2,0.0575014348529066,24.806426361537884
0032.png,12.75,4,0.0235441721999099,32.56233149013869
0032.png,25.5,3,0.0409779082871952,27.749004277658678
0032.png,51.0,2,0.0837101692836015,21.54443559629211
0033.png,12.75,4,0.0827882550344095,21.640625422646856
0033.png,25.5,3,0.0936176229137495,20.57284780861673
0033.png,51.0,2,0.1161436034852452,18.700094072428985
0034.png,12.75,4,0.0250335343020163,32.02955662389199
0034.png,25.5,3,0.0377774758921483,28.455341257946213
0034.png,51.0,2,0.0578049578469322,24.76069822355301
0035.png,12.75,4,0.0638959032884431,23.890539718289997
0035.png,25.5,3,0.0764064375300353,22.33740097875048
0035.png,51.0,2,0.0995481661275611,20.03933472237818
0036.png,12.75,4,0.0399908945495303,27.960777621965903
0036.png,25.5,3,0.051281626744177,25.800764133585893
0036.png,51.0,2,0.073165935628367,22.713821387564572
0037.png,12.75,4,0.047037201216885,26.551170546556744
0037.png,25.5,3,0.0568545806540174,24.90469078746788
0037.png,51.0,2,0.0764088331339801,22.337128650580752
0038.png,12.75,4,0.0215381441732466,33.335834405199606
0038.png,25.5,3,0.0342840368090617,29.2981609457808
0038.png,51.0,2,0.053289995522732,25.46708632494452
0039.png,12.75,4,0.0375497836308077,28.507851222845787
0039.png,25.5,3,0.0467051058288837,26.612712790348088
0039.png,51.0,2,0.0639686737315528,23.88065306913761
0004.png,12.75,4,0.0329012565544233,29.655750305905528
0004.png,25.5,3,0.0452160442225395,26.894148701586698
0004.png,51.0,2,0.0653961311579604,23.68895887646543
0040.png,12.75,4,0.0299766901233675,30.46432642942989
0040.png,25.5,3,0.0404341672221199,27.865029942899824
0040.png,51.0,2,0.0608793019125558,24.31060672306212
0041.png,12.75,4,0.0272139668059434,31.30416298552361
0041.png,25.5,3,0.0412332218074368,27.69505459501065
0041.png,51.0,2,0.0617115418896393,24.192672048281235
0042.png,12.75,4,0.0209555587211134,33.5740151086651
0042.png,25.5,3,0.0347973848152684,29.169067881399325
0042.png,51.0,2,0.0545319196752436,25.266984273407967
0043.png,12.75,4,0.0372344087998852,28.58111074804693
0043.png,25.5,3,0.0487019815449239,26.249067364405995
0043.png,51.0,2,0.0733122212995223,22.69647243063662
0044.png,12.75,4,0.0362226319918589,28.820399927478668
0044.png,25.5,3,0.0476767296865511,26.43387084043809
0044.png,51.0,2,0.0670353551397926,23.473921709465667
0045.png,12.75,4,0.0221117792120549,33.107526215011646
0045.png,25.5,3,0.0350924041307773,29.09573755734214
0045.png,51.0,2,0.0591043426338381,24.567612171672423
0046.png,12.75,4,0.0421419275902983,27.5057120690605
0046.png,25.5,3,0.0528759023004819,25.534844170767585
0046.png,51.0,2,0.0742455205362765,22.58659487120813
0047.png,12.75,4,0.0233385922038576,32.638506887437494
0047.png,25.5,3,0.0361137303671056,28.8465529763133
0047.png,51.0,2,0.0547933422975067,25.22544415115526
0048.png,12.75,4,0.0545400172692727,25.26569457763157
0048.png,25.5,3,0.0637883787567462,23.90516871445952
0048.png,51.0,2,0.0863271639071643,21.277050533265523
0049.png,12.75,4,0.0409107129121625,27.76325904795939
0049.png,25.5,3,0.0518314060813644,25.708140189370003
0049.png,51.0,2,0.0721476162950418,22.835560262168222
0005.png,12.75,4,0.0308995788902103,30.20094878490405
0005.png,25.5,3,0.0424867017224987,27.434939644774676
0005.png,51.0,2,0.0660859613488966,23.597815759226787
0050.png,12.75,4,0.0243559721333057,32.26789063023703
0050.png,25.5,3,0.0378808068288166,28.43161558937778
0050.png,51.0,2,0.0616103904731133,24.20692077469793
0051.png,12.75,4,0.044327306071912,27.06657323038769
0051.png,25.5,3,0.0557646899569964,25.07281416133206
0051.png,51.0,2,0.0799579162347685,21.94277064914084
0052.png,12.75,4,0.0474169997164896,26.4813185844638
0052.png,25.5,3,0.0578303412331323,24.756884901903486
0052.png,51.0,2,0.0828595095818708,21.63315282952052
0053.png,12.75,4,0.024732575524,32.13461312152465
0053.png,25.5,3,0.0396311040298305,28.03927658138349
0053.png,51.0,2,0.068420672606471,23.29625321633597
0054.png,12.75,4,0.0239670466676127,32.40770956962376
0054.png,25.5,3,0.0373802724620146,28.547150748112028
0054.png,51.0,2,0.0555221962742257,25.1106672592371
0055.png,12.75,4,0.0324421293228986,29.77781297649472
0055.png,25.5,3,0.0451203444128556,26.912551879061738
0055.png,51.0,2,0.0676708980227596,23.391961203966986
0056.png,12.75,4,0.0381919289110898,28.360568134294653
0056.png,25.5,3,0.0507218897990085,25.896091477135418
0056.png,51.0,2,0.0741986364729768,22.592081511051028
0057.png,12.75,4,0.0673556117104587,23.432524306656912
0057.png,25.5,3,0.0781702034226791,22.13917515749776
0057.png,51.0,2,0.0994981227471104,20.04370226212309
0058.png,12.75,4,0.0333991695097717,29.52528664089901
0058.png,25.5,3,0.0450597787383755,26.924218903348272
0058.png,51.0,2,0.0643308307641084,23.83161680226206
0059.png,12.75,4,0.0232685298635269,32.66462110291795
0059.png,25.5,3,0.036271006113585,28.80880794903764
0059.png,51.0,2,0.0528732898052494,25.53527333424057
0006.png,12.75,4,0.0362731480638655,28.80829502710858
