image,missing_fraction,NRMSE,PSNR
0000.png,0.2,0.008284541615730362,41.63463032248173
0001.png,0.2,0.011072902919498947,39.11477015397525
0002.png,0.2,0.009694991442951708,40.26905139809127
0003.png,0.2,0.017450453969704408,35.163865409656985
0004.png,0.2,0.016595985170127073,35.5999392384121
0005.png,0.2,0.01736483856173698,35.206584998083905
0006.png,0.2,0.017698847938998688,35.04110004001732
0007.png,0.2,0.03525290809738113,29.056101023919005
0008.png,0.2,0.023870045047252948,32.44293522794625
0009.png,0.2,0.018942460959947307,34.451271983006
0010.png,0.2,0.02556354474851928,31.84757850480921
0011.png,0.2,0.01498452708413267,36.487139179148244
0012.png,0.2,0.02278992854491762,32.845140729913005
0013.png,0.2,0.011711986373890215,38.6273888311572
0014.png,0.2,0.01840980583577467,34.699015837628906
0015.png,0.2,0.02250727948681487,32.95353992252811
0016.png,0.2,0.014152768427177114,36.983171987180334
0017.png,0.2,0.008392922673201249,41.521735563370456
0018.png,0.2,0.018207751984660226,34.794873418999096
0019.png,0.2,0.01321082539878009,37.58140094530668
0020.png,0.2,0.011818244672012052,38.5489404621063
0021.png,0.2,0.02307348350177897,32.73773666493774
0022.png,0.2,0.022507450157727354,32.95347405836666
0023.png,0.2,0.010594773916145588,39.49816612690333
0024.png,0.2,0.023361898307176252,32.62983741712105
0025.png,0.2,0.022215872203632324,33.066732630421484
0026.png,0.2,0.03248169610164818,29.767226024359587
0027.png,0.2,0.022266178352977613,33.04708633075002
0028.png,0.2,0.025620590567195754,31.828217275496993
0029.png,0.2,0.013658563903637096,37.29189922174691
0030.png,0.2,0.019817998534346362,34.058804160869734
0031.png,0.2,0.010820478858680944,39.31507038333033
0032.png,0.2,0.012384372343776552,38.14251998268006
0033.png,0.2,0.048712257105984584,26.24723493434425
0034.png,0.2,0.011318129846094475,38.92450655945603
0035.png,0.2,0.03631441281459852,28.79841947529
0036.png,0.2,0.019430519363971423,34.230311817245344
0037.png,0.2,0.02652343233743853,31.527405511261648
0038.png,0.2,0.012580799493579348,38.00583518319331
0039.png,0.2,0.02192902749252231,33.17961255933264
0040.png,0.2,0.015436275420724826,36.22914962321794
0041.png,0.2,0.013058512018873028,37.682126137802086
0042.png,0.2,0.010452968833836306,39.61520688955374
0043.png,0.2,0.020870956379778916,33.60915299191177
0044.png,0.2,0.01879147081995854,34.520784521467085
0045.png,0.2,0.009136708677224473,40.784204445818176
0046.png,0.2,0.02653662444291048,31.523086436555094
0047.png,0.2,0.011190173507980844,39.02326359030083
0048.png,0.2,0.027689836190281043,31.15359226960816
0049.png,0.2,0.022005144774258797,33.14951539641301
0050.png,0.2,0.011214149575916574,39.00467311035068
0051.png,0.2,0.025230155492940318,31.961601458520597
