image,sigma,NRMSE,PSNR
0011.png,25.5,0.03241198,29.78588777201672
0012.png,25.5,0.043614354,27.20741153158255
0013.png,25.5,0.020522209,33.75551776634918
0014.png,25.5,0.03981499,27.999068163903935
0015.png,25.5,0.04654808,26.641964606417684
0016.png,25.5,0.03554968,28.98328624571089
0017.png,25.5,0.02522699,31.96269118151441
0018.png,25.5,0.035340533,29.03453811002276
0019.png,25.5,0.03671738,28.70256584101763
0020.png,25.5,0.029212466,30.688635602854838
0021.png,25.5,0.043824237,27.165712914341874
0022.png,25.5,0.045573816,26.825692821420475
0023.png,25.5,0.02601375,31.695940832745706
0024.png,25.5,0.041325387,27.675661746206117
0025.png,25.5,0.03335773,29.5360699104779
0026.png,25.5,0.054936945,25.202710230072665
0027.png,25.5,0.047935,26.38694463531735
0028.png,25.5,0.04185665,27.564710491147974
0029.png,25.5,0.038149316,28.370264532403688
0030.png,25.5,0.041944318,27.54653726963085
0031.png,25.5,0.030536532,30.303605666585035
0032.png,25.5,0.023862557,32.44565995035104
0033.png,25.5,0.06249077,24.083682486228007
0034.png,25.5,0.027804151,31.11780701646392
0035.png,25.5,0.06372137,23.9142969987671
0036.png,25.5,0.047685932,26.4321936167386
0037.png,25.5,0.042073548,27.519816968283898
0038.png,25.5,0.02197686,33.16068716275299
0039.png,25.5,0.04330082,27.270077835530003
0040.png,25.5,0.033474896,29.505615782953992
0041.png,25.5,0.033938736,29.386086776690274
0042.png,25.5,0.0247099,32.14257962097479
0043.png,25.5,0.039354686,28.100070490404626
0044.png,25.5,0.035481684,28.999915075074153
0045.png,25.5,0.026303202,31.599828345843562
0046.png,25.5,0.04603233,26.738740831231684
0047.png,25.5,0.02878889,30.815501339507424
0048.png,25.5,0.04899455,26.197044931271996
0049.png,25.5,0.04701402,26.555451957390012
0050.png,25.5,0.024593081,32.183740813587775
0051.png,25.5,0.04730894,26.50113525545401
0052.png,25.5,0.03979055,28.004401562994268
0053.png,25.5,0.025346346,31.921692847738917
0054.png,25.5,0.029156717,30.705227720685006
0055.png,25.5,0.03878766,28.22612841427587
0056.png,25.5,0.041011658,27.741853420368486
0057.png,25.5,0.06447064,23.812760422676757
0058.png,25.5,0.036659863,28.716184001648664
0059.png,25.5,0.02581757,31.761692475040412
0060.png,25.5,0.027930971,31.07827899189026
0061.png,25.5,0.024741944,32.13132413735477
0062.png,25.5,0.029870179,30.495243736357725
0063.png,25.5,0.023083152,32.734097539160196
0064.png,25.5,0.042895287,27.35180868982049
0065.png,25.5,0.047654167,26.43798210552463
0066.png,25.5,0.038016677,28.400516334558095
0067.png,25.5,0.05421219,25.31806182078663
0000.png,51.0,0.025000641,32.04097687490722
0001.png,51.0,0.050794885,25.883599915178056
0002.png,51.0,0.03847252,28.296987570783877
0003.png,51.0,0.059106506,24.567294068118272
0004.png,51.0,0.054090288,25.337614109042338
0005.png,51.0,0.049977697,26.02447453649546
0006.png,51.0,0.054631248,25.25117757463784
0007.png,51.0,0.09398361,20.538956933882233
0008.png,51.0,0.066015586,23.607070362130415
0009.png,51.0,0.049836252,26.04909209523376
0010.png,51.0,0.06136921,24.240989144614566
0011.png,51.0,0.047253348,26.5113487276967
0012.png,51.0,0.06152601,24.218824858097637
0013.png,51.0,0.029935861,30.476164915111145
0014.png,51.0,0.05759023,24.793023543102915
0015.png,51.0,0.06669541,23.518082129907828
0016.png,51.0,0.05068781,25.901929746677883
0017.png,51.0,0.036250688,28.813675209835147
0018.png,51.0,0.054736514,25.23445667456313
0019.png,51.0,0.05169368,25.73125069797003
0020.png,51.0,0.042046078,27.525490318489947
0021.png,51.0,0.063564,23.9357756318011
0022.png,51.0,0.07209257,22.842188843894313
0023.png,51.0,0.03757311,28.502457007223796
0024.png,51.0,0.05675259,24.92028573691494
0025.png,51.0,0.049552396,26.098706736500574
0026.png,51.0,0.08391188,21.523530511619867
0027.png,51.0,0.06976568,23.127163150524964
0028.png,51.0,0.063115,23.997347548974417
0029.png,51.0,0.05669632,24.928901658877972
0030.png,51.0,0.060851626,24.31455627317718
0031.png,51.0,0.043283843,27.273483453885426
0032.png,51.0,0.032395247,29.79037371363752
0033.png,51.0,0.09797479,20.177713311996385
0034.png,51.0,0.039559346,28.055017943004145
0035.png,51.0,0.09600948,20.35371855600595
0036.png,51.0,0.06836386,23.303468216468755
0037.png,51.0,0.06257763,24.071618164739338
0038.png,51.0,0.030782098,30.23403580286807
0039.png,51.0,0.05227706,25.633777021319347
0040.png,51.0,0.044863116,26.962210970283635
0041.png,51.0,0.047561474,26.45489369856389
0042.png,51.0,0.03828045,28.340459932906207
